empty,CITY,STATE,PHYSICAL ZIP,POP,age0s,age10s,age20s,age30s,age40s,age50s,age60s,age70s,age80plus,type
1,WASHINGTON,DC,20001,689545,10.2,9.1,21.4,20.4,11.4,10,8.9,5.5,2.9,Urban
2,SAN JUAN ZONA,PR,00901,322854,7.9,10.3,13,12.6,12.7,13.8,13.5,9.8,6.4,Urban
3,HUNTSVILLE,AL,35801,215006,11.1,12.2,17,13.7,10.9,12.7,11.1,7,4.5,Urban
4,HUNTSVILLE,AL,35805,215006,11.1,12.2,17,13.7,10.9,12.7,11.1,7,4.5,Urban
5,HUNTSVILLE,AL,35813,215006,11.1,12.2,17,13.7,10.9,12.7,11.1,7,4.5,Urban
8,HUNTSVILLE,AL,35816,215006,11.1,12.2,17,13.7,10.9,12.7,11.1,7,4.5,Urban
10,BIRMINGHAM,AL,35203,200733,10.9,10.9,18,14.1,10.6,12,13.1,6.9,3.6,Urban
28,BIRMINGHAM,AL,35229,200733,10.9,10.9,18,14.1,10.6,12,13.1,6.9,3.6,Urban
29,ANCHORAGE,AK,99501,291247,13,13,15.3,15.6,12,12.4,11,5.4,2,Urban
30,FAIRBANKS,AK,99709,32515,14.5,11.8,27.3,15,8.6,8.3,7.9,4.3,2.4,Urban
31,PHOENIX,AZ,85001,1608139,13.2,14.7,15.2,14.9,12.8,12.1,9.5,5.3,2.3,Urban
32,TUCSON,AZ,85726,542629,10.8,12.7,17.4,13.8,11,11.5,11.6,7.3,3.8,Urban
38,LITTLE ROCK,AR,72205,202591,12.2,12.5,14.6,14.6,12.4,11.9,11.6,6.8,3.5,Urban
39,FAYETTEVILLE,AR,72701,93949,10.5,14.4,29.2,14.2,9.7,7.9,7.2,4.5,2.4,Urban
40,LOS ANGELES,CA,90001,3898747,10.2,11.7,16.7,16.7,13.3,12.4,10,5.8,3.3,Urban
48,LOS ANGELES,CA,90049,3898747,10.2,11.7,16.7,16.7,13.3,12.4,10,5.8,3.3,Urban
49,SAN DIEGO,CA,92122,1386932,10.2,11.6,18,16.4,12.5,11.8,10,6.1,3.3,Urban
51,SAN DIEGO,CA,92136,1386932,10.2,11.6,18,16.4,12.5,11.8,10,6.1,3.3,Urban
52,SAN DIEGO,CA,92140,1386932,10.2,11.6,18,16.4,12.5,11.8,10,6.1,3.3,Urban
53,SAN DIEGO,CA,92145,1386932,10.2,11.6,18,16.4,12.5,11.8,10,6.1,3.3,Urban
54,SAN DIEGO,CA,92199,1386932,10.2,11.6,18,16.4,12.5,11.8,10,6.1,3.3,Urban
63,DENVER,CO,80202,715522,10.6,10.3,19.4,20.6,12.7,10,8.7,5.3,2.5,Urban
65,DENVER,CO,80210,715522,10.6,10.3,19.4,20.6,12.7,10,8.7,5.3,2.5,Urban
66,DENVER,CO,80217,715522,10.6,10.3,19.4,20.6,12.7,10,8.7,5.3,2.5,Urban
74,DENVER,CO,80218,715522,10.6,10.3,19.4,20.6,12.7,10,8.7,5.3,2.5,Urban
75,COLORADO SPRINGS,CO,80903,478961,12.1,12.8,15.9,14.9,11.8,11.9,10.9,6.4,3.2,Urban
79,COLORADO SPRINGS,CO,80909,478961,12.1,12.8,15.9,14.9,11.8,11.9,10.9,6.4,3.2,Urban
81,COLORADO SPRINGS,CO,80910,478961,12.1,12.8,15.9,14.9,11.8,11.9,10.9,6.4,3.2,Urban
82,COLORADO SPRINGS,CO,80920,478961,12.1,12.8,15.9,14.9,11.8,11.9,10.9,6.4,3.2,Urban
83,BRIDGEPORT,CT,06602,148654,12.4,14.4,15.2,14.8,12.7,12.7,9.6,5.3,2.9,Urban
85,STAMFORD,CT,06902,135470,11.1,11,15.1,16.7,12.4,12.7,10.5,6.3,4.2,Urban
87,STAMFORD,CT,06907,135470,11.1,11,15.1,16.7,12.4,12.7,10.5,6.3,4.2,Urban
89,WILMINGTON,DE,19801,70898,12.6,13,14.7,15.4,11.3,12.6,11.1,6.2,3.1,Urban
92,WILMINGTON,DE,19803,70898,12.6,13,14.7,15.4,11.3,12.6,11.1,6.2,3.1,Urban
95,DOVER,DE,19901,39403,12,14.1,20,12.2,9.5,10.4,10.3,7.1,4.5,Urban
96,JACKSONVILLE,FL,32244,949611,12,12.2,14.7,14.5,12,13,11.5,6.7,3.2,Urban
97,MIAMI,FL,33112,442241,9.3,9.1,14.5,17.5,13.8,13.5,10.4,7.1,4.9,Urban
98,MIAMI,FL,33152,442241,9.3,9.1,14.5,17.5,13.8,13.5,10.4,7.1,4.9,Urban
100,MIAMI,FL,33184,442241,9.3,9.1,14.5,17.5,13.8,13.5,10.4,7.1,4.9,Urban
